date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:36:43	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Dec%202023%2017:06:44%20GMT	http://manifesto.clapat.com/robots.txt		(from )
22:36:43	38766/38766	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Nov%202023%2014:05:39%20GMT	http://manifesto.clapat.com/	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/index.html	(from )
22:36:44	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Thu,%2009%20Feb%202017%2009:35:22%20GMT	http://manifesto.clapat.com/favicon.ico	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/favicon.ico	(from http://manifesto.clapat.com/)
22:36:45	77773/77773	---M--	200	added ('OK')	text/css	date:Mon,%2026%20Jun%202023%2010:48:20%20GMT	http://manifesto.clapat.com/style.css	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/style.css	(from http://manifesto.clapat.com/)
22:36:46	100782/100782	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Mar%202022%2013:08:02%20GMT	http://manifesto.clapat.com/css/all.min.css	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/css/all.min.css	(from http://manifesto.clapat.com/)
22:36:48	38766/38766	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Nov%202023%2014:05:39%20GMT	http://manifesto.clapat.com/index.html	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/index-2.html	(from http://manifesto.clapat.com/)
22:36:49	2950/2950	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Apr%202023%2014:26:37%20GMT	http://manifesto.clapat.com/images/logo-white.png	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/images/logo-white.png	(from http://manifesto.clapat.com/)
22:36:49	3133/3133	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Apr%202023%2014:25:45%20GMT	http://manifesto.clapat.com/images/logo.png	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/images/logo.png	(from http://manifesto.clapat.com/)
22:36:50	29307/29307	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Nov%202023%2014:05:26%20GMT	http://manifesto.clapat.com/index-showcase-carousel.html	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/index-showcase-carousel.html	(from http://manifesto.clapat.com/)
22:36:51	31945/31945	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Nov%202023%2014:04:57%20GMT	http://manifesto.clapat.com/index-showcase-grid.html	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/index-showcase-grid.html	(from http://manifesto.clapat.com/)
